Year,Crop,District,Block_name,grand_total_production,grand_total_area,Rain_fall_actual(mm),Rain_fall_deviation(%),Temp_max(C),Temp_min(C),Yield,Temp_mean(C),Tbase,GDD_Year
2016,Paddy,TRIVANDRUM,Athiyannoor,0.722,0.29,2636.2,0.79,36.1,24.0,2.489655172413793,30.05,14,16.05
2016,Paddy,TRIVANDRUM,Chirayinkeezhu,395.209,154.85,1782.6,-0.15,35.8,23.5,2.5522053600258316,29.65,14,15.649999999999999
2016,Paddy,TRIVANDRUM,Kilimanoor,2320.805,849.8,2019.4,0.01,35.7,23.6,2.731001412096964,29.650000000000002,14,15.650000000000002
2016,Paddy,TRIVANDRUM,Nedumangad,67.662,23.6,2764.3,0.75,35.9,23.4,2.8670338983050847,29.65,14,15.649999999999999
2016,Paddy,TRIVANDRUM,Nemom,71.793,40.5,2808.3,0.79,36.0,24.3,1.7726666666666668,30.15,14,16.15
2016,Paddy,TRIVANDRUM,Parassala,650.235,258.13,2661.3,1.03,36.1,24.2,2.519021423313834,30.15,14,16.15
2016,Paddy,TRIVANDRUM,Perumkadavila,144.575,77.47,2804.2,0.9,36.1,24.3,1.8662062733961533,30.200000000000003,14,16.200000000000003
2016,Paddy,TRIVANDRUM,Pothencode,206.891,91.51,1948.8,0.03,35.9,23.5,2.260856736968637,29.7,14,15.7
2016,Paddy,TRIVANDRUM,Vamanapuram,334.93,122.75,2634.8,0.73,35.8,23.5,2.728553971486762,29.65,14,15.649999999999999
2016,Paddy,TRIVANDRUM,Varkala,1052.592,407.13,1804.0,-0.16,35.7,23.6,2.585395328273525,29.650000000000002,14,15.650000000000002
2016,Paddy,TRIVANDRUM,Vellanad,72.041,25.16,3120.7,1.03,35.9,23.4,2.8633147853736087,29.65,14,15.649999999999999
2016,Paddy,KOLLAM,Anchal,150.087,65.97,2596.7,0.44,35.6,22.6,2.2750795816280127,29.1,14,15.100000000000001
2016,Paddy,KOLLAM,Chadayamangalam,468.796,193.75,2482.8,0.28,35.6,22.6,2.419592258064516,29.1,14,15.100000000000001
2016,Paddy,KOLLAM,Chavara,29.368,15.75,2388.8,0.03,35.4,22.7,1.8646349206349206,29.049999999999997,14,15.049999999999997
2016,Paddy,KOLLAM,Chittumala,224.473,104.01,2426.3,-0.05,35.4,21.7,2.158186712816075,28.549999999999997,14,14.549999999999997
2016,Paddy,KOLLAM,Ithikkara,644.703,255.76,2184.8,-0.01,35.6,21.6,2.5207342821395056,28.6,14,14.600000000000001
2016,Paddy,KOLLAM,Kottarakara,495.573,224.94,2728.6,0.01,35.4,21.7,2.203134169111763,28.549999999999997,14,14.549999999999997
2016,Paddy,KOLLAM,Mukhathala,370.116,165.18,2358.0,-0.09,35.5,21.7,2.2406828913912094,28.6,14,14.600000000000001
2016,Paddy,KOLLAM,Oachira,118.212,113.06,2472.4,0.06,35.3,21.8,1.0455687245710243,28.549999999999997,14,14.549999999999997
2016,Paddy,KOLLAM,Pathanapuram,161.046,72.99,2867.3,0.23,35.3,21.8,2.2064118372379777,28.549999999999997,14,14.549999999999997
2016,Paddy,KOLLAM,Sasthamcotta,415.431,226.26,2566.8,0.01,35.2,21.8,1.8360779634049325,28.5,14,14.5
2016,Paddy,KOLLAM,Vettikavala,227.107,99.09,2882.3,0.07,35.3,21.8,2.291926531436068,28.549999999999997,14,14.549999999999997
2016,Paddy,PATHANAMTHITTA,Elanthoor,89.566,32.63,2964.1,0.02,34.6,23.0,2.7448973337419553,28.8,14,14.8
2016,Paddy,PATHANAMTHITTA,Koipuram,479.839,187.83,4327.0,0.43,34.5,22.2,2.5546451578555076,28.35,14,14.350000000000001
2016,Paddy,PATHANAMTHITTA,Konni,317.022,115.92,2919.3,0.85,35.3,22.9,2.7348343685300205,29.099999999999998,14,15.099999999999998
2016,Paddy,PATHANAMTHITTA,Mallappally,401.834,127.22,4327.0,1.03,34.8,22.1,3.158575695645339,28.45,14,14.45
2016,Paddy,PATHANAMTHITTA,Pandalam,646.659,230.66,2749.1,-0.05,34.7,21.1,2.8035159975721844,27.900000000000002,14,13.900000000000002
2016,Paddy,PATHANAMTHITTA,Parakodu,409.385,183.74,2897.5,0.09,35.0,21.9,2.228066833569174,28.45,14,14.45
2016,Paddy,PATHANAMTHITTA,Pulikeezh,6010.076,1603.7,2056.0,-0.26,35.0,21.9,3.747631103074141,28.45,14,14.45
2016,Paddy,PATHANAMTHITTA,Ranni,0.0,0.0,2912.5,0.6,35.2,21.8,0.0,28.5,14,14.5
2016,Paddy,ALAPPUZHA,Ambalapuzha,10212.474,3607.36,2220.0,-0.2,35.5,23.7,2.8310104896655726,29.6,14,15.600000000000001
2016,Paddy,ALAPPUZHA,Aryad,13.828,21.93,2354.6,-0.18,35.8,23.5,0.6305517555859553,29.65,14,15.649999999999999
2016,Paddy,ALAPPUZHA,Bharanikkavu,999.533,490.36,2583.0,-0.06,35.0,23.9,2.0383656905130922,29.45,14,15.45
2016,Paddy,ALAPPUZHA,Champakkulam,38532.794,13031.5,2140.4,-0.25,35.4,23.7,2.9568962897594293,29.549999999999997,14,15.549999999999997
2016,Paddy,ALAPPUZHA,Chengannur,2669.542,1014.58,2419.5,-0.12,34.8,24.0,2.631179404285517,29.4,14,15.399999999999999
2016,Paddy,ALAPPUZHA,Harippad,9588.806,3410.82,2209.1,-0.18,35.3,23.8,2.8112905401047255,29.549999999999997,14,15.549999999999997
2016,Paddy,ALAPPUZHA,Kanjikuzhy,172.617,167.54,2520.6,-0.14,35.9,23.5,1.0303032111734511,29.7,14,15.7
2016,Paddy,ALAPPUZHA,Mavelikkara,3980.188,1930.53,2336.1,-0.14,35.1,23.9,2.0617074067743055,29.5,14,15.5
2016,Paddy,ALAPPUZHA,Muthukulam,474.605,176.64,2311.2,-0.15,35.3,23.8,2.6868489583333335,29.549999999999997,14,15.549999999999997
2016,Paddy,ALAPPUZHA,Pattanakkad,475.992,511.04,2887.5,0.01,35.2,23.3,0.9314182842830306,29.25,14,15.25
2016,Paddy,ALAPPUZHA,Thycattussery,48.447,67.65,2921.4,0.01,35.1,23.3,0.7161419068736141,29.200000000000003,14,15.200000000000003
2016,Paddy,ALAPPUZHA,Veliyanad,18606.417,6087.67,2917.4,0.01,35.4,23.7,3.056410252198296,29.549999999999997,14,15.549999999999997
2016,Paddy,KOTTAYAM,Erattupetta,2.212,0.73,4327.0,1.03,35.6,23.6,3.03013698630137,29.6,14,15.600000000000001
2016,Paddy,KOTTAYAM,Etumanoor,25648.494,8296.47,4327.0,1.03,35.6,23.6,3.0914948164701372,29.6,14,15.600000000000001
2016,Paddy,KOTTAYAM,Kaduthuruthy,4545.777,1637.28,3208.2,-0.02,35.0,23.4,2.776420038111991,29.2,14,15.2
2016,Paddy,KOTTAYAM,Kanjirappally,0.0,0.0,4327.0,0.52,35.2,24.0,0.0,29.6,14,15.600000000000001
2016,Paddy,KOTTAYAM,Lalam,320.39,139.47,4327.0,1.03,35.7,23.6,2.297196529719653,29.650000000000002,14,15.650000000000002
2016,Paddy,KOTTAYAM,Madappally,6834.055,2275.42,4327.0,1.03,35.1,23.9,3.003425741181848,29.5,14,15.5
2016,Paddy,KOTTAYAM,Pallom,2011.338,615.02,4327.0,1.03,35.4,23.8,3.2703619394491237,29.6,14,15.600000000000001
2016,Paddy,KOTTAYAM,Pampady,292.931,109.67,4327.0,1.03,35.3,23.8,2.6710221573812345,29.549999999999997,14,15.549999999999997
2016,Paddy,KOTTAYAM,Uzhavoor,1200.871,439.17,4327.0,1.03,35.8,23.5,2.7344103650067173,29.65,14,15.649999999999999
2016,Paddy,KOTTAYAM,Vaikom,5181.416,1837.73,2826.3,-0.13,34.0,23.4,2.819465318626784,28.7,14,14.7
2016,Paddy,KOTTAYAM,Vazhoor,0.0,0.0,4327.0,1.03,33.0,24.0,0.0,28.5,14,14.5
2016,Paddy,IDUKKI,Adimali,164.526,65.51,2773.1,0.04,34.4,15.4,2.511463898641429,24.9,14,10.899999999999999
2016,Paddy,IDUKKI,Azhutha,0.0,0.0,2381.3,0.41,33.6,15.6,0.0,24.6,14,10.600000000000001
2016,Paddy,IDUKKI,Devikulam,132.995,43.92,2110.6,0.22,34.5,15.0,3.0281193078324224,24.75,14,10.75
2016,Paddy,IDUKKI,Elamdesam,882.954,343.54,3140.8,0.05,34.1,15.4,2.5701635908482268,24.75,14,10.75
2016,Paddy,IDUKKI,Idukki,88.437,36.09,2615.0,0.21,33.9,15.4,2.4504571903574393,24.65,14,10.649999999999999
2016,Paddy,IDUKKI,Kattapana,363.444,154.39,2062.6,0.32,33.8,15.5,2.3540643824081875,24.65,14,10.649999999999999
2016,Paddy,IDUKKI,Nedumkandam,228.921,89.94,1910.9,0.53,34.1,15.3,2.545263509006004,24.700000000000003,14,10.700000000000003
2016,Paddy,IDUKKI,Thodupuzha,243.613,111.57,3439.1,0.03,34.0,15.4,2.1834991485166264,24.7,14,10.7
2016,Paddy,ERNAKULAM,Alangad,541.795,268.33,2500.6,-0.19,35.7,23.0,2.019136883687996,29.35,14,15.350000000000001
2016,Paddy,ERNAKULAM,Angamaly,1257.438,536.53,2769.0,-0.07,35.7,23.0,2.3436490037835727,29.35,14,15.350000000000001
2016,Paddy,ERNAKULAM,Edappally,139.649,60.73,2681.6,-0.14,35.6,23.1,2.2995060102091225,29.35,14,15.350000000000001
2016,Paddy,ERNAKULAM,Koovappady,1345.21,647.36,2892.8,-0.05,35.6,23.1,2.0779936974789917,29.35,14,15.350000000000001
2016,Paddy,ERNAKULAM,Kothamangalam,1707.912,786.78,3078.4,0.0,35.6,23.2,2.1707618393960195,29.4,14,15.399999999999999
2016,Paddy,ERNAKULAM,Mulanthuruthy,1483.199,712.82,3193.8,-0.01,36.2,23.3,2.080748295502371,29.75,14,15.75
2016,Paddy,ERNAKULAM,Muvattupuzha,901.291,383.06,3251.0,0.01,36.3,23.3,2.352871612802172,29.799999999999997,14,15.799999999999997
2016,Paddy,ERNAKULAM,Palluruthy,50.577,63.1,2961.4,-0.02,36.3,23.3,0.8015372424722662,29.799999999999997,14,15.799999999999997
2016,Paddy,ERNAKULAM,Pampakuda,1709.026,731.93,3221.1,-0.01,36.1,23.4,2.334958261035892,29.75,14,15.75
2016,Paddy,ERNAKULAM,Parakkadavu,945.507,382.02,2538.0,-0.16,36.7,23.0,2.4750196324799747,29.85,14,15.850000000000001
2016,Paddy,ERNAKULAM,Paravur,143.6,133.6,2502.8,-0.18,35.8,23.0,1.0748502994011977,29.4,14,15.399999999999999
2016,Paddy,ERNAKULAM,Vadavucode,1287.345,676.11,2978.0,-0.08,36.4,23.2,1.9040466787948707,29.799999999999997,14,15.799999999999997
2016,Paddy,ERNAKULAM,Vazhakulam,805.013,370.02,2751.2,-0.14,36.5,23.1,2.1755932111777745,29.8,14,15.8
2016,Paddy,ERNAKULAM,Vypin,144.845,109.42,2560.8,-0.17,35.7,23.0,1.3237525132516907,29.35,14,15.350000000000001
2016,Paddy,THRISSUR,Anthikad,8213.154,2512.81,2777.1,0.02,36.2,22.8,3.26851373561869,29.5,14,15.5
2016,Paddy,THRISSUR,Chalakudy,430.672,186.14,2489.3,-0.17,36.8,22.9,2.3136993660685508,29.849999999999998,14,15.849999999999998
2016,Paddy,THRISSUR,Chavakkad,1502.786,352.34,2683.2,0.01,36.5,22.8,4.265158653573254,29.65,14,15.649999999999999
2016,Paddy,THRISSUR,Cherpu,5088.226,1497.71,2601.6,-0.03,36.2,22.9,3.3973372682294967,29.55,14,15.55
2016,Paddy,THRISSUR,Chowannur,9853.163,2876.33,2581.1,0.01,36.5,22.8,3.425602416968846,29.65,14,15.649999999999999
2016,Paddy,THRISSUR,Irinjalakuda,3264.085,964.37,2599.0,-0.08,36.1,22.9,3.3846811908292462,29.5,14,15.5
2016,Paddy,THRISSUR,Kodakara,2485.523,1007.69,2542.0,0.12,36.0,22.9,2.466555190584406,29.45,14,15.45
2016,Paddy,THRISSUR,Mala,2480.402,947.74,2518.4,-0.17,35.9,22.9,2.6171755966826344,29.4,14,15.399999999999999
2016,Paddy,THRISSUR,Mathilakam,24.891,21.82,2512.9,-0.16,36.0,22.9,1.1407424381301556,29.45,14,15.45
2016,Paddy,THRISSUR,Mullassery,7393.384,1784.58,2818.1,0.0,36.3,22.8,4.142926626993466,29.549999999999997,14,15.549999999999997
2016,Paddy,THRISSUR,Ollukkara,785.772,281.92,2141.7,-0.09,36.2,22.8,2.787216231555051,29.5,14,15.5
2016,Paddy,THRISSUR,Pazhayanoor,10934.432,4120.43,1890.3,-0.11,36.3,22.8,2.6537113844914244,29.549999999999997,14,15.549999999999997
2016,Paddy,THRISSUR,Puzhakal,13565.572,3757.65,2609.0,-0.03,36.4,22.8,3.610121219379133,29.6,14,15.600000000000001
