Year,Crop,District,grand_total_production,grand_total_area,Rain_fall_actual(mm),Rain_fall_deviation(%),Temp_max(C),Temp_min(C),Yield,Temp_mean(C),Tbase,GDD_Year
2016,Banana,ALAPPUZHA,3824.15,436.21,2485.066667,-0.115833333,35.31666667,23.675,8.766763715,29.49583333,8,21.49583333
2017,Banana,ALAPPUZHA,3466.214,487.31,2041,-0.271666667,36.5,20.3,7.112954793,28.4,8,20.4
2018,Banana,ALAPPUZHA,4038.857,541.65,2421.933333,0.090833333,35.75833333,20.875,7.456580818,28.31666667,8,20.31666667
2019,Banana,ALAPPUZHA,1715.127,290.02,3198.908333,0.1775,34.80833333,20.18333333,5.913823185,27.49583333,8,19.49583333
2020,Banana,ALAPPUZHA,2180.394,353.51,3131.458333,0.155,33.75,22.525,6.167842494,28.1375,8,20.1375
2021,Banana,ALAPPUZHA,2034.072,288.6,3380.325,0.241666667,33.16666667,21.91666667,7.048066528,27.54166667,8,19.54166667
2022,Banana,ALAPPUZHA,2511.052,370.28,3203.3,0.164166667,35.50833333,21.65,6.781495085,28.57916667,8,20.57916667
2023,Banana,ALAPPUZHA,3073.585,371.74,1966.241667,-0.295,35.13333333,18.8,8.268104051,26.96666667,8,18.96666667
2024,Banana,ALAPPUZHA,2907.303,343.01,2946.833333,0.118333333,36.01666667,23.775,8.475854931,29.89583333,8,21.89583333
2016,Banana,ERNAKULAM,44525.93,4758.15,2848.607143,-0.086428571,36.01428571,23.14285714,9.357823944,29.57857143,8,21.57857143
2017,Banana,ERNAKULAM,45314.599,4867.6,2268.571429,-0.22,37.64285714,20.92857143,9.309433602,29.28571429,8,21.28571429
2018,Banana,ERNAKULAM,46872.288,4945.99,2723.042857,0.115,36.11428571,20.28571429,9.476826277,28.2,8,20.2
2019,Banana,ERNAKULAM,33197.528,4693.39,3800.271429,0.261428571,34.50714286,20.65714286,7.07325153,27.58214286,8,19.58214286
2020,Banana,ERNAKULAM,44985.959,5196.28,3743.057143,0.249285714,34.14285714,23.5,8.657339289,28.82142857,8,20.82142857
2021,Banana,ERNAKULAM,46276.985,4757.88,3735.2,0.235,35.2,20.72857143,9.726387593,27.96428571,8,19.96428571
2022,Banana,ERNAKULAM,44831.048,4732.92,3853.642857,0.267857143,34.82142857,21.34285714,9.472175317,28.08214286,8,20.08214286
2023,Banana,ERNAKULAM,46169.699,4560.38,2785.7,-0.095,34.28571429,18.27857143,10.12409032,26.28214286,8,18.28214286
2024,Banana,ERNAKULAM,44427.917,4580.38,3127.957143,0.44,36.71428571,23.24285714,9.699613788,29.97857143,8,21.97857143
2016,Banana,IDUKKI,29744.12,3437.49,2554.175,0.22625,34.05,15.375,8.652860081,24.7125,8,16.7125
2017,Banana,IDUKKI,28940.941,3288.24,2068.3625,-0.00875,32.875,18.25,8.801346921,25.5625,8,17.5625
2018,Banana,IDUKKI,30996.766,3216.12,2633.575,0.52875,30.2,14.6,9.637938261,22.4,8,14.4
2019,Banana,IDUKKI,27222.724,3085.47,3856.325,0.91625,31.85,16.375,8.822877552,24.1125,8,16.1125
2020,Banana,IDUKKI,31229.79,3183.34,2864.25,0.3725,32.5,18.875,9.81038469,25.6875,8,17.6875
2021,Banana,IDUKKI,31671.794,3354.17,3301.2,0.605,28.5,21.6125,9.442513051,25.05625,8,17.05625
2022,Banana,IDUKKI,27430.735,2551.21,3733.6125,0.8,29.425,14.375,10.75204903,21.9,8,13.9
2023,Banana,IDUKKI,28275.278,2579.26,2839.55,0.335,24.4375,11.85,10.96255438,18.14375,8,10.14375
2024,Banana,IDUKKI,29392.327,2467.64,2785.8375,0.07,34.75,15.475,11.91110818,25.1125,8,17.1125
2016,Banana,KANNUR,18938,2034.24,2691.336364,-0.183636364,37.85454545,21.84545455,9.309619317,29.85,8,21.85
2017,Banana,KANNUR,15597.555,1724.32,2641.554545,-0.147272727,36.64545455,21.80909091,9.045626682,29.22727273,8,21.22727273
